id,firstName,lastName,email,claseImpartida
1,Dud,Ishak,dishak0@alexa.com,Algebra
2,Jolyn,Bragg,jbragg1@go.com,Procesadores
3,Sallie,Gaw,sgaw2@mit.edu,Programacion
4,Belle,De Biasi,bdebiasi3@ucla.edu,IA
5,Bing,Filov,bfilov4@engadget.com,Calculo
6,West,Douberday,wdouberday5@mozilla.org,Logica
7,Marion,Northridge,mnorthridge6@newsvine.com,Geometria
8,Hillary,Whittle,hwhittle7@free.fr,Base de Datos
9,Standford,Semour,ssemour8@live.com,Estructura de Datos
10,Babs,Orridge,borridge9@exblog.jp,Compiladores
11,Arliene,Dunnett,adunnetta@microsoft.com,Algebra
12,Anabal,Bick,abickb@icq.com,Procesadores
13,Thelma,Hoodlass,thoodlassc@ucsd.edu,Programacion
14,Othello,Sperrett,osperrettd@feedburner.com,IA
15,Kristal,Herche,kherchee@cbslocal.com,Calculo
16,Archibaldo,Goldberg,agoldbergf@ted.com,Logica
17,Traver,Sutheran,tsutherang@wired.com,Geometria
18,Noelani,Baggally,nbaggallyh@discuz.net,Base de Datos
19,Maye,Peetermann,mpeetermanni@rambler.ru,Estructura de Datos
20,Barbara,Coleyshaw,bcoleyshawj@unc.edu,Compiladores
21,Fania,Rewan,frewank@msu.edu,Algebra
22,Wolfgang,Oakes,woakesl@illinois.edu,Procesadores
23,Ade,O' Timony,aotimonym@gov.uk,Programacion
24,Cherrita,Dyers,cdyersn@wikimedia.org,IA
25,Ram,Picknett,rpicknetto@sitemeter.com,Calculo
26,Lauree,Welbelove,lwelbelovep@wikipedia.org,Logica
27,Christie,Fleischer,cfleischerq@earthlink.net,Geometria
28,Winthrop,Hamm,whammr@virginia.edu,Base de Datos
29,Cedric,Thring,cthrings@cpanel.net,Estructura de Datos
